Heliostat field,,,"IFS(SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>1200,1600,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>800,1200,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>400,800,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>0,400)",,8*COS(M3),8*sin(M3),"IFS(AND(D3=400,O3>0.5),NORM.INV(RAND(),187,0.3),AND(D3=400,O3<=0.5),NORM.INV(RAND(),173,0.3),AND(D3=800,O3>0.5),NORM.INV(RAND(),184,0.8),AND(D3=800,O3<=0.5),NORM.INV(RAND(),176,0.8),AND(D3=1200,O3>0.5),NORM.INV(RAND(),182,0.9),AND(D3=1200,O3<=0.5),NORM.INV(RAND(),178,0.9),D3=1600,NORM.INV(RAND(),180,1.2))",,,,"NORM.INV(RAND(),0,0.28)","ATAN2(A3,B3)","IFS(AND(D3=400,O3>0.5),NORM.INV(RAND(),187,0.1),AND(D3=400,O3<=0.5),NORM.INV(RAND(),172,0.1),AND(D3=800,O3>0.5),NORM.INV(RAND(),185,0.1),AND(D3=800,O3<=0.5),NORM.INV(RAND(),175,0.1),AND(D3=1200,O3>0.5),NORM.INV(RAND(),183,0.1),AND(D3=1200,O3<=0.5),NORM.INV(RAND(),177,0.1),D3=1600,NORM.INV(RAND(),180,0.1))",RAND()
Heliostat x,Heliostat y,Heliostat z,Focal Length x,Focal Length y,Aiming point x,Aiming point y,Aiming point z,Heliostat width (x),Heliostat length (y),Heliostat z-normal rotation,,theta,,
281.964384,52.681632,0,400,400,7.863918994,1.469278072,172.9528058,11.415,10.421,0,0.200603944,0.184708255,171.9977158,0.312231899
285.792672,24.530304,0,400,400,7.970692952,0.684144628,187.3588165,11.415,10.421,0,0.003150178,0.08562266,187.0716111,0.525989277
285.792672,-24.530304,0,400,400,7.970692952,-0.684144628,187.3246567,11.415,10.421,0,-0.051975907,-0.08562266,187.0363175,0.967661946
281.729688,-53.91912,0,400,400,7.857391504,-1.503794784,187.2550823,11.415,10.421,0,-0.266476918,-0.189099321,186.8567775,0.934272152
274.652232,-82.728816,0,400,400,7.660048261,-2.307305928,172.927616,11.415,10.421,0,0.271729051,-0.292569244,172.0351792,0.346154487
264.639552,-110.65764,0,400,400,7.380736388,-3.086216191,172.4311236,11.415,10.421,0,0.486247603,-0.396049893,171.9116661,0.390091913
251.79528,-137.397744,0,400,400,7.022521238,-3.831996276,187.1949998,11.415,10.421,0,-0.075330286,-0.499514635,186.9576752,0.63116075
236.256576,-162.67176,0,400,400,6.589139079,-4.53687626,187.2025037,11.415,10.421,0,-0.125559067,-0.602992226,186.8525943,0.847527457
218.188032,-186.205368,0,400,400,6.085241864,-5.193248641,187.1665741,11.415,10.421,0,0.036153439,-0.706474446,187.140118,0.781571106
197.790816,-207.745584,0,400,400,5.516332808,-5.793968618,172.8137755,11.415,10.421,0,0.544403024,-0.809940397,171.9795344,0.04135814
175.27524,-227.063808,0,400,400,4.888380975,-6.332750701,186.781611,11.415,10.421,0,0.575280854,-0.913412977,187.0200996,0.885350649
